,Year,Country Code,primary_energy_consumption_terrawats_per_hour
4800,2017,HRV,94.783
4801,2018,HRV,98.16
4802,2019,HRV,95.813
4921,2016,CUB,99.532
4922,2017,CUB,106.043
4923,2018,CUB,111.202
4924,2019,CUB,108.896
4977,2016,CYP,31.737
4978,2017,CYP,32.596
4979,2018,CYP,32.462
4980,2019,CYP,32.493
5034,2016,CZE,464.304
5035,2017,CZE,485.478
5036,2018,CZE,483.933
5037,2019,CZE,477.865
5249,2016,COD,33.731
5250,2017,COD,36.64
5251,2018,COD,38.711
5252,2019,COD,34.895
5370,2016,DNK,201.166
5371,2017,DNK,202.395
5372,2018,DNK,199.434
5373,2019,DNK,195.593
5412,2016,DJI,3.04
5413,2017,DJI,2.65
5414,2018,DJI,2.787
5415,2019,DJI,2.53
5453,2016,DMA,0.85
5454,2017,DMA,0.794
5455,2018,DMA,0.819
5456,2019,DMA,0.789
5494,2016,DOM,103.54
5495,2017,DOM,102.122
5496,2018,DOM,112.906
5497,2019,DOM,122.796
5615,2016,nan,
5678,2016,nan,579.339
5679,2017,nan,615.122
5680,2018,nan,647.509
5681,2019,nan,644.047
5800,2016,ECU,187.404
5801,2017,ECU,194.566
5802,2018,ECU,205.892
5803,2019,ECU,211.307
5922,2016,EGY,1025.583
5923,2017,EGY,1065.902
5924,2018,EGY,1066.859
5925,2019,EGY,1047.689
5964,2016,SLV,38.956
5965,2017,SLV,38.631
5966,2018,SLV,41.654
5967,2019,SLV,45.626
6006,2016,GNQ,27.854
6007,2017,GNQ,27.373
6008,2018,GNQ,24.831
6009,2019,GNQ,22.889
6034,2016,ERI,2.398
6035,2017,ERI,2.657
6036,2018,ERI,3.045
6037,2019,ERI,3.305
6070,2016,EST,70.557
6071,2017,EST,78.259
6072,2018,EST,77.648
6073,2019,EST,62.558
6192,2016,SWZ,6.075
6193,2017,SWZ,6.222
6194,2018,SWZ,6.726
6195,2019,SWZ,6.52
6233,2016,ETH,84.997
6234,2017,ETH,86.028
6235,2018,ETH,90.238
6236,2019,ETH,105.761
6274,2016,nan,12956.672
6275,2017,nan,13203.829
6276,2018,nan,13592.186
6277,2019,nan,13656.08
6394,2016,nan,
6511,2016,nan,30274.68
6512,2017,nan,30408.889
6513,2018,nan,30846.207
6514,2019,nan,30367.592
6568,2016,nan,23635.047
6569,2017,nan,23816.02
6570,2018,nan,23905.652
6571,2019,nan,23553.225
6690,2016,nan,
6807,2016,nan,17208.703
6808,2017,nan,17374.303
6809,2018,nan,17435.309
6810,2019,nan,17158.744
6849,2016,nan,18375.438
6850,2017,nan,18748.658
6851,2018,nan,18623.414
6852,2019,nan,18342.49
6889,2016,FRO,3.397
6890,2017,FRO,3.822
6891,2018,FRO,3.926
6892,2019,FRO,3.903
6930,2016,FLK,0.208
6931,2017,FLK,0.2
6932,2018,FLK,0.207
6933,2019,FLK,0.207
6971,2016,FJI,7.447
6972,2017,FJI,8.065
6973,2018,FJI,8.497
6974,2019,FJI,8.581
7027,2016,FIN,334.467
7028,2017,FIN,327.815
7029,2018,FIN,334.254
7030,2019,FIN,327.364
7149,2016,FRA,2760.945
7150,2017,FRA,2740.535
7151,2018,FRA,2791.125
7152,2019,FRA,2732.134
7191,2016,GUF,4.889
7192,2017,GUF,5.19
7193,2018,GUF,5.1
7194,2019,GUF,4.806
7232,2016,PYF,4.72
7233,2017,PYF,4.598
7234,2018,PYF,4.684
7235,2019,PYF,4.718
7253,2016,nan,
7254,2017,nan,
7255,2018,nan,
7256,2019,nan,
7275,2016,nan,
7276,2017,nan,
7277,2018,nan,
7278,2019,nan,
7397,2016,GAB,20.318
7398,2017,GAB,19.864
7399,2018,GAB,17.484
7400,2019,GAB,17.052
7439,2016,GMB,2.337
7440,2017,GMB,2.377
7441,2018,GMB,2.393
7442,2019,GMB,2.44
7468,2016,GEO,72.101
