,Country Code,Year,GDP per capita
849,CUW,2019,19024.17723
850,CYM,2019,91513.04267
851,CYP,2019,29206.07617
852,CZE,2019,23660.14881
853,DEU,2019,46794.89929
854,DJI,2019,3172.750685
855,DMA,2019,8516.280039
856,DNK,2019,59775.7351
857,DOM,2019,8282.117131
858,DZA,2019,3989.668276
859,EAP,2019,8177.838
860,EAR,2019,3538.833413
861,EAS,2019,11494.09153
862,ECA,2019,8136.751834
863,ECS,2019,24914.60337
864,ECU,2019,6222.524653
865,EGY,2019,3019.092283
866,EMU,2019,39195.77483
867,ERI,2019,
868,ESP,2019,29554.49052
869,EST,2019,23397.87826
870,ETH,2019,855.7608852
871,EUU,2019,35089.28279
872,FCS,2019,1905.700418
873,FIN,2019,48628.64176
874,FJI,2019,6175.890653
875,FRA,2019,40578.64429
876,FRO,2019,67153.68194
877,FSM,2019,3624.249092
878,GAB,2019,7766.996554
879,GBR,2019,43070.49836
880,GEO,2019,4696.150586
881,GHA,2019,2246.625578
882,GIB,2019,
883,GIN,2019,1052.588091
884,GMB,2019,772.5055883
885,GNB,2019,749.453747
886,GNQ,2019,8380.741122
887,GRC,2019,19133.75776
888,GRD,2019,10834.49568
889,GRL,2019,53256.24409
890,GTM,2019,4638.634943
891,GUM,2019,38040.58699
892,GUY,2019,6609.51128
893,HIC,2019,44774.77502
894,HKG,2019,48356.0635
895,HND,2019,2574.356751
896,HPC,2019,994.8982809
897,HRV,2019,15311.7669
898,HTI,2019,1312.770636
899,HUN,2019,16735.65978
900,IBD,2019,6473.782551
901,IBT,2019,5168.837517
902,IDA,2019,1399.11567
903,IDB,2019,1852.219116
904,IDN,2019,4135.233344
905,IDX,2019,1169.69953
906,IMN,2019,86481.55259
907,IND,2019,2072.244897
908,INX,2019,
909,IRL,2019,80886.61574
910,IRN,2019,3514.042168
911,IRQ,2019,5943.458455
912,ISL,2019,68941.46223
913,ISR,2019,43951.24773
914,ITA,2019,33673.47545
915,JAM,2019,5369.498371
916,JOR,2019,4405.487109
917,JPN,2019,40458.00188
918,KAZ,2019,9812.595808
919,KEN,2019,1909.304537
920,KGZ,2019,1374.032105
921,KHM,2019,1643.121389
922,KIR,2019,1512.95277
923,KNA,2019,22047.88303
924,KOR,2019,31902.4169
925,KWT,2019,32373.25111
926,LAC,2019,8165.360565
927,LAO,2019,2613.944427
928,LBN,2019,7527.44306
929,LBR,2019,672.3404992
930,LBY,2019,10218.04303
931,LCA,2019,11591.08044
932,LCN,2019,8699.460717
933,LDC,2019,1105.717065
934,LIC,2019,720.474279
935,LIE,2019,169049.1569
936,LKA,2019,3848.212376
937,LMC,2019,2411.334922
938,LMY,2019,4993.619381
939,LSO,2019,1153.388058
940,LTE,2019,9974.505915
